Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,Floor Level
SYCAMORE TREE,FOWLIE ROAD,Retail,"1,850,000",581.26,"3,183",Nov-24,Strata,54,"34,259",Freehold,15,01 to 05
SUNSHINE PLAZA,BENCOOLEN STREET,Retail,"688,000",269.1,"2,557",Nov-24,Strata,25,"27,520",99 yrs lease commencing from 1997,07,01 to 05
SIM LIM SQUARE,ROCHOR CANAL ROAD,Retail,"1,988,888",376.74,"5,279",Nov-24,Strata,35,"56,825",99 yrs lease commencing from 1983,07,06 to 10
FORTUNE CENTRE,MIDDLE ROAD,Retail,"1,170,000",473.62,"2,470",Nov-24,Strata,44,"26,591",99 yrs lease commencing from 1980,07,01 to 05
FAR EAST PLAZA,SCOTTS ROAD,Retail,"1,800,000",312.16,"5,766",Nov-24,Strata,29,"62,069",Freehold,09,01 to 05
THE ALPS RESIDENCES,TAMPINES STREET 86,Retail,"2,350,000",688.9,"3,411",Nov-24,Strata,64,"36,719",99 yrs lease commencing from 2015,18,01 to 05
QUEENSWAY SHOPPING CENTRE,QUEENSWAY,Retail,"655,000",215.28,"3,043",Oct-24,Strata,20,"32,750",Freehold,03,01 to 05
SQUARE 2,SINARAN DRIVE,Retail,"3,213,475",742.72,"4,327",Oct-24,Strata,69,"46,572",99 yrs lease commencing from 2002,11,06 to 10
SULTAN PLAZA,JALAN SULTAN,Retail,"300,000",172.22,"1,742",Oct-24,Strata,16,"18,750",99 yrs lease commencing from 1978,07,01 to 05
THE ALPS RESIDENCES,TAMPINES STREET 86,Retail,"2,000,000",688.9,"2,903",Oct-24,Strata,64,"31,250",99 yrs lease commencing from 2015,18,01 to 05
WIS@CHANGI,CHANGI ROAD,Retail,"595,000",193.75,"3,071",Oct-24,Strata,18,"33,056",Freehold,14,01 to 05
URBAN VISTA,TANAH MERAH KECHIL LINK,Retail,"615,000",419.8,"1,465",Oct-24,Strata,39,"15,769",99 yrs lease commencing from 2012,16,01 to 05
LUCKY PLAZA,ORCHARD ROAD,Retail,"1,285,000",182.99,"7,022",Oct-24,Strata,17,"75,588",Freehold,09,01 to 05
PARKLANE SHOPPING MALL,SELEGIE ROAD,Retail,"738,000",452.09,"1,632",Oct-24,Strata,42,"17,571",99 yrs lease commencing from 1974,07,01 to 05
KATONG SHOPPING CENTRE,MOUNTBATTEN ROAD,Retail,"500,000",129.17,"3,871",Oct-24,Strata,12,"41,667",Freehold,15,01 to 05
N.A.,ARMENIAN STREET,Retail,"3,369,000","1,280.92","2,630",Oct-24,Strata,119,"28,311",99 yrs lease commencing from 2007,06,01 to 05
SIM LIM SQUARE,ROCHOR CANAL ROAD,Retail,"960,000",344.45,"2,787",Oct-24,Strata,32,"30,000",99 yrs lease commencing from 1983,07,01 to 05
FORTUNE CENTRE,MIDDLE ROAD,Retail,"1,480,000",688.9,"2,148",Oct-24,Strata,64,"23,125",99 yrs lease commencing from 1980,07,01 to 05
GRANDLINK SQUARE,GUILLEMARD ROAD,Retail,"900,000",387.5,"2,323",Oct-24,Strata,36,"25,000",Freehold,14,01 to 05
TEXTILE CENTRE,JALAN SULTAN,Retail,"1,490,000","1,270.15","1,173",Oct-24,Strata,118,"12,627",99 yrs lease commencing from 1970,07,01 to 05
BUKIT TIMAH SHOPPING CENTRE,UPPER BUKIT TIMAH ROAD,Retail,"2,820,000","1,162.51","2,426",Oct-24,Strata,108,"26,111",999 yrs lease commencing from 1883,21,B1 to B5
CONCORDE SHOPPING CENTRE,OUTRAM ROAD,Retail,"675,000",387.5,"1,742",Oct-24,Strata,36,"18,750",99 yrs lease commencing from 1980,03,01 to 05
SULTAN PLAZA,JALAN SULTAN,Retail,"285,000",193.75,"1,471",Oct-24,Strata,18,"15,833",99 yrs lease commencing from 1978,07,01 to 05
SUITES@ KATONG,TANJONG KATONG ROAD,Retail,"1,485,000",495.14,"2,999",Oct-24,Strata,46,"32,283",Freehold,15,01 to 05
PENINSULA PLAZA,NORTH BRIDGE ROAD,Retail,"1,350,000",398.27,"3,390",Oct-24,Strata,37,"36,486",999 yrs lease commencing from 1829,06,01 to 05
GRANDLINK SQUARE,GUILLEMARD ROAD,Retail,"860,000",398.27,"2,159",Oct-24,Strata,37,"23,243",Freehold,14,01 to 05
WISMA ATRIA,ORCHARD ROAD,Retail,"3,850,000","1,722.24","2,235",Oct-24,Strata,160,"24,063",99 yrs lease commencing from 1962,09,21 to 25
CITY PLAZA,GEYLANG ROAD,Retail,"953,988",247.57,"3,853",Sep-24,Strata,23,"41,478",Freehold,14,01 to 05
ONE CLAYMORE,CLAYMORE DRIVE,Retail,"9,200,000","2,647.94","3,474",Sep-24,Strata,246,"37,398",Freehold,09,01 to 05
THE CENTREPOINT,ORCHARD ROAD,Retail,"5,200,000","1,313.21","3,960",Sep-24,Strata,122,"42,623",99 yrs lease commencing from 1979,09,01 to 05
EAST VILLAGE,UPPER CHANGI ROAD,Retail,"630,000",204.52,"3,080",Sep-24,Strata,19,"33,158",Freehold,16,01 to 05
TEXTILE CENTRE,JALAN SULTAN,Retail,"1,600,000",925.7,"1,728",Sep-24,Strata,86,"18,605",99 yrs lease commencing from 1970,07,01 to 05
THE ARCADE,COLLYER QUAY,Retail,"2,800,000",505.91,"5,535",Sep-24,Strata,47,"59,574",99 yrs lease commencing from 1979,01,01 to 05
PEOPLE'S PARK COMPLEX,PARK ROAD,Retail,"1,280,000",236.81,"5,405",Sep-24,Strata,22,"58,182",99 yrs lease commencing from 1968,01,01 to 05
BUGIS CUBE,NORTH BRIDGE ROAD,Retail,"1,083,333",279.86,"3,871",Sep-24,Strata,26,"41,667",999 yrs lease commencing from 1827,07,01 to 05
PARKWAY CENTRE,MARINE PARADE CENTRAL,Retail,"4,500,000","1,087.16","4,139",Sep-24,Strata,101,"44,554",99 yrs lease commencing from 1981,15,01 to 05
THE MIDTOWN,UPPER SERANGOON ROAD,Retail,"1,800,000",753.48,"2,389",Sep-24,Strata,70,"25,714",99 yrs lease commencing from 2013,19,01 to 05
THE PROMENADE@PELIKAT,JALAN PELIKAT,Retail,"490,000",236.81,"2,069",Sep-24,Strata,22,"22,273",Freehold,19,01 to 05
BUGIS CUBE,NORTH BRIDGE ROAD,Retail,"916,667",236.81,"3,871",Sep-24,Strata,22,"41,667",999 yrs lease commencing from 1827,07,01 to 05
ORCHARD TOWERS,ORCHARD ROAD,Retail,"989,000",258.34,"3,828",Sep-24,Strata,24,"41,208",Freehold,09,01 to 05
HIGH PARK RESIDENCES,FERNVALE ROAD,Retail,"1,100,000",355.21,"3,097",Sep-24,Strata,33,"33,333",99 yrs lease commencing from 2014,28,01 to 05
BALESTIER POINT,BALESTIER ROAD,Retail,"680,000",269.1,"2,527",Sep-24,Strata,25,"27,200",Freehold,12,01 to 05
BALESTIER POINT,BALESTIER ROAD,Retail,"923,000",355.21,"2,598",Sep-24,Strata,33,"27,970",Freehold,12,01 to 05
SIM LIM SQUARE,ROCHOR CANAL ROAD,Retail,"970,000",387.5,"2,503",Aug-24,Strata,36,"26,944",99 yrs lease commencing from 1983,07,01 to 05
THE 101,BEACH ROAD,Retail,"8,707,260","1,539.25","5,657",Aug-24,Strata,143,"60,890",999 yrs lease commencing from 1827,07,01 to 05
FAR EAST PLAZA,SCOTTS ROAD,Retail,"2,800,000",398.27,"7,030",Aug-24,Strata,37,"75,676",Freehold,09,01 to 05
FAR EAST PLAZA,SCOTTS ROAD,Retail,"2,100,000",452.09,"4,645",Aug-24,Strata,42,"50,000",Freehold,09,01 to 05
ALEXIS,ALEXANDRA ROAD,Retail,"7,000,000","2,163.56","3,235",Aug-24,Strata,201,"34,826",Freehold,03,01 to 05
THE CENTREPOINT,ORCHARD ROAD,Retail,"1,550,000",516.67,"3,000",Aug-24,Strata,48,"32,292",99 yrs lease commencing from 1979,09,01 to 05
HOLLAND ROAD SHOPPING CENTRE,HOLLAND AVENUE,Retail,"2,900,000",613.55,"4,727",Aug-24,Strata,57,"50,877",Freehold,10,01 to 05
SOUTHBANK,NORTH BRIDGE ROAD,Retail,"550,000",182.99,"3,006",Aug-24,Strata,17,"32,353",99 yrs lease commencing from 2006,07,01 to 05
THE COMMERZE@IRVING,IRVING PLACE,Retail,"535,000",430.56,"1,243",Aug-24,Strata,40,"13,375",60 yrs lease commencing from 2011,13,01 to 05
COCO PALMS,PASIR RIS GROVE,Retail,"1,250,000",602.78,"2,074",Aug-24,Strata,56,"22,321",99 yrs lease commencing from 2008,18,01 to 05
TONG BUILDING,ORCHARD ROAD,Retail,"13,965,840","3,422.95","4,080",Aug-24,Strata,318,"43,918",Freehold,09,16 to 20
VIBES @ KOVAN,KOVAN ROAD,Retail,"620,000",312.16,"1,986",Aug-24,Strata,29,"21,379",Freehold,19,01 to 05
SIM LIM SQUARE,ROCHOR CANAL ROAD,Retail,"1,750,000",409.03,"4,278",Aug-24,Strata,38,"46,053",99 yrs lease commencing from 1983,07,06 to 10
KATONG SHOPPING CENTRE,MOUNTBATTEN ROAD,Retail,"840,000",226.04,"3,716",Aug-24,Strata,21,"40,000",Freehold,15,B1 to B5
VIVA VISTA,SOUTH BUONA VISTA ROAD,Retail,"340,000",150.7,"2,256",Aug-24,Strata,14,"24,286",Freehold,05,B1 to B5
KAP,KING ALBERT PARK,Retail,"1,630,000",398.27,"4,093",Jul-24,Strata,37,"44,054",Freehold,21,01 to 05
KAP,KING ALBERT PARK,Retail,"1,550,000",376.74,"4,114",Jul-24,Strata,35,"44,286",Freehold,21,01 to 05
BUGIS CUBE,NORTH BRIDGE ROAD,Retail,"1,200,000",355.21,"3,378",Jul-24,Strata,33,"36,364",999 yrs lease commencing from 1827,07,01 to 05
SUITES AT BUKIT TIMAH,JALAN JURONG KECHIL,Retail,"380,000",107.64,"3,530",Jul-24,Strata,10,"38,000",Freehold,21,01 to 05
SIM LIM TOWER,JALAN BESAR,Retail,"832,000",279.86,"2,973",Jul-24,Strata,26,"32,000",Freehold,08,01 to 05
HIGH PARK RESIDENCES,FERNVALE ROAD,Retail,"1,100,000",355.21,"3,097",Jul-24,Strata,33,"33,333",99 yrs lease commencing from 2014,28,01 to 05
HIGH PARK RESIDENCES,FERNVALE ROAD,Retail,"1,130,000",365.98,"3,088",Jul-24,Strata,34,"33,235",99 yrs lease commencing from 2014,28,01 to 05
GRANDLINK SQUARE,GUILLEMARD ROAD,Retail,"1,240,000",301.39,"4,114",Jul-24,Strata,28,"44,286",Freehold,14,01 to 05
SIM LIM SQUARE,ROCHOR CANAL ROAD,Retail,"1,000,000",409.03,"2,445",Jul-24,Strata,38,"26,316",99 yrs lease commencing from 1983,07,01 to 05
ORCHARD TOWERS,ORCHARD ROAD,Retail,"1,150,000",258.34,"4,452",Jul-24,Strata,24,"47,917",Freehold,09,B1 to B5
ICON@CHANGI,CHANGI ROAD,Retail,"340,000",161.46,"2,106",Jul-24,Strata,15,"22,667",Freehold,14,B1 to B5
CORONATION SHOPPING PLAZA,BUKIT TIMAH ROAD,Retail,"1,170,000",258.34,"4,529",Jul-24,Strata,24,"48,750",Freehold,10,01 to 05
SIM LIM TOWER,JALAN BESAR,Retail,"745,000",279.86,"2,662",Jul-24,Strata,26,"28,654",Freehold,08,01 to 05
EON SHENTON,SHENTON WAY,Retail,"2,520,000","1,033.34","2,439",Jul-24,Strata,96,"26,250",99 yrs lease commencing from 2011,02,16 to 20
CITY PLAZA,GEYLANG ROAD,Retail,"4,800,000","1,184.04","4,054",Jul-24,Strata,110,"43,636",Freehold,14,01 to 05
VISIONCREST,PENANG ROAD,Retail,"2,129,300",419.8,"5,072",Jul-24,Strata,39,"54,597",Freehold,09,01 to 05
VISIONCREST,PENANG ROAD,Retail,"1,744,000",344.45,"5,063",Jul-24,Strata,32,"54,500",Freehold,09,01 to 05
VISIONCREST,PENANG ROAD,Retail,"1,740,500",344.45,"5,053",Jul-24,Strata,32,"54,391",Freehold,09,01 to 05
VISIONCREST,PENANG ROAD,Retail,"1,435,000",279.86,"5,127",Jul-24,Strata,26,"55,192",Freehold,09,01 to 05
UPPER SERANGOON SHOPPING CENTRE,UPPER SERANGOON ROAD,Retail,"580,000",247.57,"2,343",Jul-24,Strata,23,"25,217",Freehold,19,01 to 05
PENINSULA PLAZA,NORTH BRIDGE ROAD,Retail,"1,100,000",398.27,"2,762",Jul-24,Strata,37,"29,730",999 yrs lease commencing from 1829,06,01 to 05
GOLDEN MILE TOWER,BEACH ROAD,Retail,"335,000",204.52,"1,638",Jul-24,Strata,19,"17,632",99 yrs lease commencing from 1969,07,01 to 05
PARKWAY CENTRE,MARINE PARADE CENTRAL,Retail,"2,250,960","1,356.26","1,660",Jul-24,Strata,126,"17,865",99 yrs lease commencing from 1981,15,01 to 05
PARKWAY CENTRE,MARINE PARADE CENTRAL,Retail,"1,875,800","1,130.22","1,660",Jul-24,Strata,105,"17,865",99 yrs lease commencing from 1981,15,11 to 15
PARKWAY CENTRE,MARINE PARADE CENTRAL,Retail,"7,093,180","4,273.31","1,660",Jul-24,Strata,397,"17,867",99 yrs lease commencing from 1981,15,11 to 15
BEAUTY WORLD CENTRE,UPPER BUKIT TIMAH ROAD,Retail,"1,100,000",441.32,"2,492",Jul-24,Strata,41,"26,829",99 yrs lease commencing from 1979,21,01 to 05
CITY GATE,BEACH ROAD,Retail,"1,296,400",462.85,"2,801",Jul-24,Strata,43,"30,149",99 yrs lease commencing from 2014,07,B1 to B5
CHARLTON CORNER,CHARLTON LANE,Retail,"125,000",53.82,"2,323",Jul-24,Strata,5,"25,000",Freehold,19,01 to 05
BEAUTY WORLD CENTRE,UPPER BUKIT TIMAH ROAD,Retail,"1,550,000",462.85,"3,349",Jul-24,Strata,43,"36,047",99 yrs lease commencing from 1979,21,01 to 05
HIGH PARK RESIDENCES,FERNVALE ROAD,Retail,"1,100,000",355.21,"3,097",Jul-24,Strata,33,"33,333",99 yrs lease commencing from 2014,28,01 to 05
QUEENSWAY SHOPPING CENTRE,QUEENSWAY,Retail,"1,088,000",258.34,"4,212",Jul-24,Strata,24,"45,333",Freehold,03,01 to 05
EASTWOOD CENTRE,EASTWOOD ROAD,Retail,"4,300,000","2,292.73","1,875",Jul-24,Strata,213,"20,188",99 yrs lease commencing from 1995,16,01 to 05
BEAUTY WORLD CENTRE,UPPER BUKIT TIMAH ROAD,Retail,"1,000,000",312.16,"3,204",Jun-24,Strata,29,"34,483",99 yrs lease commencing from 1979,21,01 to 05
HIGH PARK RESIDENCES,FERNVALE ROAD,Retail,"1,100,000",355.21,"3,097",Jun-24,Strata,33,"33,333",99 yrs lease commencing from 2014,28,01 to 05
TEXTILE CENTRE,JALAN SULTAN,Retail,"8,800,000","3,347.6","2,629",Jun-24,Strata,311,"28,296",99 yrs lease commencing from 1970,07,01 to 05
CONCORDE SHOPPING CENTRE,OUTRAM ROAD,Retail,"480,000",279.86,"1,715",Jun-24,Strata,26,"18,462",99 yrs lease commencing from 1980,03,01 to 05
PAVILION SQUARE,GEYLANG ROAD,Retail,"180,000",86.11,"2,090",Jun-24,Strata,8,"22,500",Freehold,14,01 to 05
CORONATION SHOPPING PLAZA,BUKIT TIMAH ROAD,Retail,"1,150,000",258.34,"4,452",Jun-24,Strata,24,"47,917",Freehold,10,01 to 05
FU LU SHOU COMPLEX,ROCHOR ROAD,Retail,"900,000",236.81,"3,801",Jun-24,Strata,22,"40,909",99 yrs lease commencing from 1980,07,01 to 05
FU LU SHOU COMPLEX,ROCHOR ROAD,Retail,"868,888",226.04,"3,844",Jun-24,Strata,21,"41,376",99 yrs lease commencing from 1980,07,01 to 05
THE ADELPHI,COLEMAN STREET,Retail,"1,450,000",409.03,"3,545",Jun-24,Strata,38,"38,158",999 yrs lease commencing from 1828,06,B1 to B5
THE INTERLACE,DEPOT ROAD,Retail,"900,000",387.5,"2,323",Jun-24,Strata,36,"25,000",99 yrs lease commencing from 2009,04,01 to 05
HILLVIEW REGENCY,BUKIT BATOK EAST AVENUE 2,Retail,"382,000",139.93,"2,730",Jun-24,Strata,13,"29,385",99 yrs lease commencing from 2000,23,01 to 05
JALAN BESAR PLAZA,KITCHENER ROAD,Retail,"450,000",193.75,"2,323",Jun-24,Strata,18,"25,000",Freehold,08,01 to 05
PARKLANE SHOPPING MALL,SELEGIE ROAD,Retail,"1,000,000",452.09,"2,212",May-24,Strata,42,"23,810",99 yrs lease commencing from 1974,07,01 to 05
PARKLANE SHOPPING MALL,SELEGIE ROAD,Retail,"1,000,000",527.44,"1,896",May-24,Strata,49,"20,408",99 yrs lease commencing from 1974,07,01 to 05
GRANDLINK SQUARE,GUILLEMARD ROAD,Retail,"770,000",398.27,"1,933",May-24,Strata,37,"20,811",Freehold,14,01 to 05
DELFI ORCHARD,ORCHARD ROAD,Retail,"439,000,000","91,278.72","4,809",May-24,Strata,"8,480","51,769",Freehold,09,01 to 05
OXLEY TOWER,ROBINSON ROAD,Retail,"640,000",182.99,"3,497",May-24,Strata,17,"37,647",Freehold,01,01 to 05
FU LU SHOU COMPLEX,ROCHOR ROAD,Retail,"1,238,800",538.2,"2,302",May-24,Strata,50,"24,776",99 yrs lease commencing from 1980,07,01 to 05
VIBES @ EAST COAST,TELOK KURAU ROAD,Retail,"820,000",312.16,"2,627",May-24,Strata,29,"28,276",Freehold,15,01 to 05
VISION EXCHANGE,VENTURE DRIVE,Retail,"1,900,000",387.5,"4,903",May-24,Strata,36,"52,778",99 yrs lease commencing from 2013,22,01 to 05
SIM LIM TOWER,JALAN BESAR,Retail,"1,038,000",376.74,"2,755",May-24,Strata,35,"29,657",Freehold,08,B1 to B5
PENINSULA SHOPPING COMPLEX,COLEMAN STREET,Retail,"2,818,075","1,496.2","1,883",May-24,Strata,139,"20,274",999 yrs lease commencing from 1828,06,01 to 05
BUGIS CUBE,NORTH BRIDGE ROAD,Retail,"1,300,000",365.98,"3,552",May-24,Strata,34,"38,235",999 yrs lease commencing from 1827,07,01 to 05
LE REGAL,GEYLANG ROAD,Retail,"334,000",107.64,"3,103",May-24,Strata,10,"33,400",Freehold,14,01 to 05
FORTUNE CENTRE,MIDDLE ROAD,Retail,"680,000",290.63,"2,340",May-24,Strata,27,"25,185",99 yrs lease commencing from 1980,07,01 to 05
SIM LIM SQUARE,ROCHOR CANAL ROAD,Retail,"4,052,012","1,722.24","2,353",May-24,Strata,160,"25,325",99 yrs lease commencing from 1983,07,06 to 10
SIM LIM SQUARE,ROCHOR CANAL ROAD,Retail,"4,079,889","1,915.99","2,129",May-24,Strata,178,"22,921",99 yrs lease commencing from 1983,07,06 to 10
MILLAGE,CHANGI ROAD,Retail,"660,000",161.46,"4,088",May-24,Strata,15,"44,000",Freehold,14,01 to 05
KATONG SHOPPING CENTRE,MOUNTBATTEN ROAD,Retail,"765,000",204.52,"3,741",May-24,Strata,19,"40,263",Freehold,15,B1 to B5
FORTUNE CENTRE,MIDDLE ROAD,Retail,"1,500,000",581.26,"2,581",May-24,Strata,54,"27,778",99 yrs lease commencing from 1980,07,01 to 05
FUYUEN COURT,SIMS AVENUE,Retail,"1,850,000",828.83,"2,232",May-24,Strata,77,"24,026",Freehold,14,01 to 05
PENINSULA PLAZA,NORTH BRIDGE ROAD,Retail,"1,540,000",409.03,"3,765",May-24,Strata,38,"40,526",999 yrs lease commencing from 1829,06,01 to 05
PENINSULA PLAZA,NORTH BRIDGE ROAD,Retail,"1,080,000",398.27,"2,712",May-24,Strata,37,"29,189",999 yrs lease commencing from 1829,06,01 to 05
PARKLANE SHOPPING MALL,SELEGIE ROAD,Retail,"1,550,000",947.23,"1,636",May-24,Strata,88,"17,614",99 yrs lease commencing from 1974,07,01 to 05
PAVILION SQUARE,GEYLANG ROAD,Retail,"540,000",96.88,"5,574",May-24,Strata,9,"60,000",Freehold,14,01 to 05
THE ARIZON,GEYLANG ROAD,Retail,"2,516,180",796.54,"3,159",May-24,Strata,74,"34,002",Freehold,14,01 to 05
THE ARIZON,GEYLANG ROAD,Retail,"2,839,000",914.94,"3,103",May-24,Strata,85,"33,400",Freehold,14,01 to 05
THE ARIZON,GEYLANG ROAD,Retail,"2,808,000",904.18,"3,106",May-24,Strata,84,"33,429",Freehold,14,01 to 05
28 RC SUITES,RACE COURSE LANE,Retail,"1,680,000",430.56,"3,902",May-24,Strata,40,"42,000",Freehold,08,01 to 05
28 RC SUITES,RACE COURSE LANE,Retail,"1,680,000",430.56,"3,902",May-24,Strata,40,"42,000",Freehold,08,01 to 05
PARKLANE SHOPPING MALL,SELEGIE ROAD,Retail,"621,000",258.34,"2,404",May-24,Strata,24,"25,875",99 yrs lease commencing from 1974,07,01 to 05
UPPER SERANGOON SHOPPING CENTRE,UPPER SERANGOON ROAD,Retail,"510,000",247.57,"2,060",May-24,Strata,23,"22,174",Freehold,19,01 to 05
1953,TESSENSOHN ROAD,Retail,"1,300,000",365.98,"3,552",May-24,Strata,34,"38,235",Freehold,08,01 to 05
THE ARIZON,GEYLANG ROAD,Retail,"2,674,000",796.54,"3,357",May-24,Strata,74,"36,135",Freehold,14,01 to 05
NEW WORLD CENTRE,JALAN BERSEH,Retail,"7,158,245","3,939.62","1,817",May-24,Strata,366,"19,558",99 yrs lease commencing from 1994,08,01 to 05
SUITES AT BUKIT TIMAH,JALAN JURONG KECHIL,Retail,"378,000",86.11,"4,390",Apr-24,Strata,8,"47,250",Freehold,21,01 to 05
SOUTHBANK,NORTH BRIDGE ROAD,Retail,"300,000",129.17,"2,323",Apr-24,Strata,12,"25,000",99 yrs lease commencing from 2006,07,01 to 05
PARKLANE SHOPPING MALL,SELEGIE ROAD,Retail,"715,135",441.32,"1,620",Apr-24,Strata,41,"17,442",99 yrs lease commencing from 1974,07,01 to 05
PARKLANE SHOPPING MALL,SELEGIE ROAD,Retail,"784,864",484.38,"1,620",Apr-24,Strata,45,"17,441",99 yrs lease commencing from 1974,07,01 to 05
THE COMMERZE@IRVING,IRVING PLACE,Retail,"400,000",247.57,"1,616",Apr-24,Strata,23,"17,391",60 yrs lease commencing from 2011,13,01 to 05
JUNCTION NINE,YISHUN AVENUE 9,Retail,"1,360,000",269.1,"5,054",Apr-24,Strata,25,"54,400",99 yrs lease commencing from 2013,27,01 to 05
SIM LIM TOWER,JALAN BESAR,Retail,"740,000",279.86,"2,644",Apr-24,Strata,26,"28,462",Freehold,08,B1 to B5
SIM LIM TOWER,JALAN BESAR,Retail,"740,000",279.86,"2,644",Apr-24,Strata,26,"28,462",Freehold,08,B1 to B5
PEOPLE'S PARK COMPLEX,PARK ROAD,Retail,"602,000",161.46,"3,728",Apr-24,Strata,15,"40,133",99 yrs lease commencing from 1968,01,01 to 05
QUEENSWAY SHOPPING CENTRE,QUEENSWAY,Retail,"520,000",118.4,"4,392",Apr-24,Strata,11,"47,273",Freehold,03,01 to 05
VIBES @ EAST COAST,TELOK KURAU ROAD,Retail,"1,600,000",570.49,"2,805",Apr-24,Strata,53,"30,189",Freehold,15,01 to 05
LUCKY PLAZA,ORCHARD ROAD,Retail,"1,388,888",172.22,"8,064",Apr-24,Strata,16,"86,806",Freehold,09,B1 to B5
FAR EAST PLAZA,SCOTTS ROAD,Retail,"1,680,000",322.92,"5,203",Apr-24,Strata,30,"56,000",Freehold,09,01 to 05
PARKWAY CENTRE,MARINE PARADE CENTRAL,Retail,"1,860,000","1,097.93","1,694",Apr-24,Strata,102,"18,235",99 yrs lease commencing from 1981,15,11 to 15
CITY PLAZA,GEYLANG ROAD,Retail,"742,888",215.28,"3,451",Apr-24,Strata,20,"37,144",Freehold,14,01 to 05
TEXTILE CENTRE,JALAN SULTAN,Retail,"1,050,000","1,001.05","1,049",Apr-24,Strata,93,"11,290",99 yrs lease commencing from 1970,07,01 to 05
PARKLANE SHOPPING MALL,SELEGIE ROAD,Retail,"950,000",430.56,"2,206",Apr-24,Strata,40,"23,750",99 yrs lease commencing from 1974,07,01 to 05
JALAN BESAR PLAZA,KITCHENER ROAD,Retail,"2,200,000","1,151.75","1,910",Apr-24,Strata,107,"20,561",Freehold,08,01 to 05
HOLLAND ROAD SHOPPING CENTRE,HOLLAND AVENUE,Retail,"1,578,000",376.74,"4,189",Apr-24,Strata,35,"45,086",Freehold,10,01 to 05
